,movie_and_date,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,index,tconst,primary_title,original_title,start_year,runtime_minutes,genres,profit,profit_ratio,profit_lmh
1204,Avengers: Infinity War_2018,7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,2018,72820,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",1748134200,6.827114,high
1205,Act of Valor_2012,52,2012-02-24,Act of Valor,12000000,70012847,82497035,2012,10241,tt1591479,Act of Valor,Act of Valor,2012,110.0,"Action,Adventure,Drama",70497035,6.874752916666667,high
1206,Fifty Shades Darker_2017,91,2017-02-10,Fifty Shades Darker,55000000,114434010,381398492,2017,77853,tt4465564,Fifty Shades Darker,Fifty Shades Darker,2017,118.0,"Drama,Romance",326398492,6.934518036363636,high
1207,Peter Rabbit_2018,97,2018-02-09,Peter Rabbit,50000000,115234093,347136477,2018,88191,tt5117670,Peter Rabbit,Peter Rabbit,2018,95.0,"Adventure,Animation,Comedy",297136477,6.94272954,high
1208,Hereditary_2018,56,2018-06-08,Hereditary,10000000,44069456,70133905,2018,127205,tt7784604,Hereditary,Hereditary,2018,127.0,"Drama,Horror,Mystery",60133905,7.0133905,high
1209,Overboard_2018,61,2018-05-04,Overboard,12000000,50316123,85369830,2018,9545,tt1563742,Overboard,Overboard,2018,112.0,"Comedy,Romance",73369830,7.1141525,high
1210,Paper Towns_2015,68,2015-07-24,Paper Towns,12000000,32000304,85450484,2015,63056,tt3622592,Paper Towns,Paper Towns,2015,109.0,"Comedy,Drama,Mystery",73450484,7.120873666666666,high
1211,If I Stay_2014,73,2014-08-22,If I Stay,11000000,50474843,78356170,2014,6949,tt1355630,If I Stay,If I Stay,2014,107.0,"Drama,Fantasy,Music",67356170,7.1232881818181815,high
1212,The Possession of Hannah Grace_2018,37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,42785387,2018,98152,tt5734576,The Possession of Hannah Grace,The Possession of Hannah Grace,2018,86.0,"Horror,Mystery,Thriller",36785387,7.130897833333333,high
1213,Happy Death Day 2U_2019,78,2019-02-13,Happy Death Day 2U,9000000,28051045,64179495,2019,131206,tt8155288,Happy Death Day 2U,Happy Death Day 2U,2019,100.0,"Drama,Horror,Mystery",55179495,7.131055,high
1214,Deadpool 2_2018,15,2018-05-18,Deadpool 2,110000000,324591735,786680557,2018,93752,tt5463162,Deadpool 2,Deadpool 2,2018,119.0,"Action,Adventure,Comedy",676680557,7.151641427272727,high
1215,Aquaman_2018,36,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,8065,tt1477834,Aquaman,Aquaman,2018,143.0,"Action,Adventure,Fantasy",986894640,7.1680915,high
1216,Eighth Grade_2018,95,2018-07-13,Eighth Grade,2000000,13539710,14341016,2018,117588,tt7014006,Eighth Grade,Eighth Grade,2018,93.0,"Comedy,Drama",12341016,7.170508,high
1217,True Grit_2010,29,2010-12-22,True Grit,35000000,171243005,252276928,2010,7306,tt1403865,True Grit,True Grit,2010,110.0,"Adventure,Drama,Western",217276928,7.207912228571429,high
1218,Straight Outta Compton_2015,35,2015-08-14,Straight Outta Compton,28000000,161197785,202182981,2015,7252,tt1398426,Straight Outta Compton,Straight Outta Compton,2015,147.0,"Biography,Drama,History",174182981,7.22082075,high
1219,We're the Millers_2013,90,2013-08-07,We're the Millers,37000000,150394119,267816276,2013,14731,tt1723121,We're the Millers,We're the Millers,2013,110.0,"Comedy,Crime",230816276,7.23827772972973,high
1220,The Hangover Part II_2011,39,2011-05-26,The Hangover Part II,80000000,254464305,586464305,2011,7371,tt1411697,The Hangover Part II,The Hangover Part II,2011,102.0,"Comedy,Mystery",506464305,7.3308038125,high
1221,Venom_2018,3,2018-10-05,Venom,116000000,213511408,853628605,2018,6261,tt1270797,Venom,Venom,2018,112.0,"Action,Sci-Fi,Thriller",737628605,7.358867284482758,high
1222,Sausage Party_2016,28,2016-08-12,Sausage Party,19000000,97670358,141344255,2016,13918,tt1700841,Sausage Party,Sausage Party,2016,89.0,"Adventure,Animation,Comedy",122344255,7.439171315789474,high
1223,About Time_2013,95,2013-11-01,About Time,12000000,15323921,89309178,2013,31611,tt2194499,About Time,About Time,2013,123.0,"Comedy,Drama,Fantasy",77309178,7.4424315,high
1224,Don Jon_2013,18,2013-09-27,Don Jon,5500000,24477704,41268579,2013,32716,tt2229499,Don Jon,Don Jon,2013,90.0,"Comedy,Drama,Romance",35768579,7.503378,high
1225,Justin Bieber: Never Say Never_2011,48,2011-02-11,Justin Bieber: Never Say Never,13000000,73013910,99034125,2011,13966,tt1702443,Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,2011,105.0,"Documentary,Music",86034125,7.618009615384615,high
1226,The Lego Movie_2014,44,2014-02-07,The Lego Movie,60000000,257784718,457729388,2014,8213,tt1490017,The Lego Movie,The Lego Movie,2014,100.0,"Action,Adventure,Animation",397729388,7.628823133333333,high
1227,Jurassic World_2015,34,2015-06-12,Jurassic World,215000000,652270625,1648854864,2015,60,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",1433854864,7.669092390697674,high
1228,The Lazarus Effect_2015,76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,2015,49036,tt2918436,The Lazarus Effect,The Lazarus Effect,2015,83.0,"Horror,Mystery,Sci-Fi",33359310,7.671862,high
1229,Jurassic World: Fallen Kingdom_2018,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,84414,tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128.0,"Action,Adventure,Sci-Fi",1135772799,7.681016464705882,high
1230,Before Midnight_2013,99,2013-05-24,Before Midnight,3000000,8110621,23251930,2013,32083,tt2209418,Before Midnight,Before Midnight,2013,109.0,"Drama,Romance",20251930,7.7506433333333336,high
1231,Paranormal Activity: The Ghost Dimension_2015,7,2015-10-23,Paranormal Activity: The Ghost Dimension,10000000,18297124,77959374,2015,41140,tt2473510,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,2015,88.0,"Horror,Mystery,Thriller",67959374,7.7959374,high
1232,Lady Bird_2017,53,2017-11-03,Lady Bird,10000000,48958273,78610769,2017,85105,tt4925292,Lady Bird,Lady Bird,2017,94.0,"Comedy,Drama",68610769,7.8610769,high
1233,Beauty and the Beast_2017,35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,46583,tt2771200,Beauty and the Beast,Beauty and the Beast,2017,129.0,"Family,Fantasy,Musical",1099199706,7.8699981625,high
1234,Despicable Me_2010,50,2010-07-09,Despicable Me,69000000,251513985,543464573,2010,6652,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",474464573,7.87629815942029,high
1235,Dark Skies_2013,97,2013-02-22,Dark Skies,3500000,17418667,27704111,2013,38689,tt2387433,Dark Skies,Dark Skies,2013,97.0,"Horror,Sci-Fi,Thriller",24204111,7.9154602857142855,high
1236,Crazy Rich Asians_2018,38,2018-08-15,Crazy Rich Asians,30000000,174532921,238099711,2018,52485,tt3104988,Crazy Rich Asians,Crazy Rich Asians,2018,120.0,"Comedy,Romance",208099711,7.936657033333334,high
1237,Furious 7_2015,67,2015-04-03,Furious 7,190000000,353007020,1518722794,2015,47535,tt2820852,Furious 7,Furious Seven,2015,137.0,"Action,Crime,Thriller",1328722794,7.9932778631578945,high
1238,The Artist_2011,34,2011-11-25,The Artist,16000000,44667095,128256712,2011,12261,tt1655442,The Artist,The Artist,2011,100.0,"Comedy,Drama,Romance",112256712,8.0160445,high
1239,The Artist_2011,34,2011-11-25,The Artist,16000000,44667095,128256712,2011,19111,tt1825978,The Artist,The Artist,2011,100.0,Thriller,112256712,8.0160445,high
1240,Winter's Bone_2010,8,2010-06-11,Winter's Bone,2000000,6531503,16131551,2010,7268,tt1399683,Winter's Bone,Winter's Bone,2010,100.0,"Drama,Mystery",14131551,8.0657755,high
1241,Hotel Transylvania 3: Summer Vacation_2018,77,2018-07-13,Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,2018,90243,tt5220122,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,97.0,"Adventure,Animation,Comedy",462079962,8.108922492307693,high
1242,The Theory of Everything_2014,35,2014-11-07,The Theory of Everything,15000000,35893537,123327692,2014,50243,tt2980516,The Theory of Everything,The Theory of Everything,2014,123.0,"Biography,Drama,Romance",108327692,8.221846133333333,high
1243,Philomena_2013,65,2013-11-22,Philomena,12000000,37709979,98963392,2013,40172,tt2431286,Philomena,Philomena,2013,98.0,"Biography,Comedy,Drama",86963392,8.246949333333333,high
1244,Weekend_2011,43,2011-09-23,Weekend,190000,484592,1577585,2011,17783,tt1791679,Weekend,Weekend,2011,121.0,"Action,Comedy,Crime",1387585,8.303078947368421,high
1245,Weekend_2011,43,2011-09-23,Weekend,190000,484592,1577585,2011,14361,tt1714210,Weekend,Weekend,2011,97.0,"Drama,Romance",1387585,8.303078947368421,high
1246,Weekend_2011,43,2011-09-23,Weekend,190000,484592,1577585,2011,22129,tt1910670,Weekend,Weekend,2011,80.0,"Comedy,Drama",1387585,8.303078947368421,high
1247,"As Above, So Below_2014",84,2014-08-29,"As Above, So Below",5000000,21222315,41824066,2014,48278,tt2870612,"As Above, So Below","As Above, So Below",2014,93.0,"Adventure,Horror,Mystery",36824066,8.3648132,high
1248,Taken 2_2012,54,2012-10-05,Taken 2,45000000,139854287,377807404,2012,7245,tt1397280,Taken 2,Taken 2,2012,92.0,"Action,Thriller",332807404,8.395720088888888,high
1249,Sing_2016,29,2016-12-21,Sing,75000000,270329045,634454789,2016,59846,tt3470600,Sing,Sing,2016,108.0,"Animation,Comedy,Family",559454789,8.459397186666667,high
1250,The Hunger Games_2012,38,2012-03-23,The Hunger Games,80000000,408010692,677923379,2012,7212,tt1392170,The Hunger Games,The Hunger Games,2012,142.0,"Action,Adventure,Sci-Fi",597923379,8.4740422375,high
1251,Tiny Furniture_2010,18,2010-11-12,Tiny Furniture,50000,391674,424149,2010,9721,tt1570989,Tiny Furniture,Tiny Furniture,2010,98.0,"Comedy,Drama,Romance",374149,8.48298,high
1252,Frozen_2013,56,2013-11-22,Frozen,150000000,400738009,1272469910,2013,35107,tt2294629,Frozen,Frozen,2013,102.0,"Adventure,Animation,Comedy",1122469910,8.483132733333333,high
1253,The Help_2011,63,2011-08-10,The Help,25000000,169705587,213120004,2011,7776,tt1454029,The Help,The Help,2011,146.0,Drama,188120004,8.52480016,high
1254,Magic Mike XXL_2015,66,2015-07-01,Magic Mike XXL,14500000,66013057,123660597,2015,34180,tt2268016,Magic Mike XXL,Magic Mike XXL,2015,115.0,"Comedy,Drama,Music",109160597,8.52831703448276,high
1255,Breaking In_2018,19,2018-05-11,Breaking In,6000000,46840590,51411620,2018,119000,tt7137846,Breaking In,Breaking In,2018,88.0,"Action,Crime,Drama",45411620,8.568603333333334,high
1256,No Escape_2015,74,2015-08-26,No Escape,5000000,27288872,42844516,2015,17301,tt1781922,No Escape,No Escape,2015,103.0,"Action,Thriller",37844516,8.5689032,high
1257,Jackass 3D_2010,98,2010-10-15,Jackass 3D,20000000,117229692,171685793,2010,5604,tt1116184,Jackass 3D,Jackass 3D,2010,95.0,"Action,Comedy,Documentary",151685793,8.58428965,high
1258,Project X_2012,58,2012-03-02,Project X,12000000,54731865,103028188,2012,11605,tt1636826,Project X,Project X,2012,88.0,Comedy,91028188,8.585682333333333,high
1259,The Woman in Black_2012,18,2012-02-03,The Woman in Black,15000000,54333290,128955898,2012,10396,tt1596365,The Woman in Black,The Woman in Black,2012,95.0,"Drama,Fantasy,Horror",113955898,8.597059866666667,high
1260,The Descendants_2011,5,2011-11-16,The Descendants,20000000,82624961,175507800,2011,3452,tt1033575,The Descendants,The Descendants,2011,115.0,"Comedy,Drama",155507800,8.77539,high
