,movie_and_date,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,index,tconst,primary_title,original_title,start_year,runtime_minutes,genres,profit,profit_ratio,profit_lmh
0,Higher Power_2018,67,2018-05-11,Higher Power,500000,528,528,2018,49123,tt2924392,Higher Power,Higher Power,2018,93.0,"Action,Sci-Fi,Thriller",-499472,0.001056,low
1,The Ghastly Love of Johnny X_2012,74,2012-10-26,The Ghastly Love of Johnny X,2000000,2436,2436,2012,16165,tt1754633,The Ghastly Love of Johnny X,The Ghastly Love of Johnny X,2012,106.0,"Comedy,Fantasy,Musical",-1997564,0.001218,low
2,10 Days in a Madhouse_2015,48,2015-11-11,10 Days in a Madhouse,12000000,14616,14616,2015,59400,tt3453052,10 Days in a Madhouse,10 Days in a Madhouse,2015,111.0,Drama,-11985384,0.001218,low
3,Area 51_2015,81,2015-05-15,Area 51,5000000,7556,7556,2015,8624,tt1519461,Area 51,Area 51,2015,91.0,"Horror,Sci-Fi,Thriller",-4992444,0.0015112,low
4,Freaks of Nature_2015,83,2015-10-30,Freaks of Nature,33000000,70958,70958,2015,18716,tt1817771,Freaks of Nature,Freaks of Nature,2015,92.0,"Comedy,Horror,Sci-Fi",-32929042,0.0021502424242424243,low
5,The Sleepwalker_2014,2,2014-11-21,The Sleepwalker,1100000,2636,2636,2014,45789,tt2723576,The Sleepwalker,The Sleepwalker,2014,91.0,Drama,-1097364,0.0023963636363636366,low
6,Trade of Innocents_2012,3,2012-10-05,Trade of Innocents,5800000,15091,15091,2012,16814,tt1772408,Trade of Innocents,Trade of Innocents,2012,88.0,"Drama,Thriller",-5784909,0.002601896551724138,low
7,Falcon Rising_2014,54,2014-09-04,Falcon Rising,4500000,11774,11774,2014,35169,tt2295722,Falcon Rising,Falcon Rising,2014,103.0,"Action,Adventure",-4488226,0.0026164444444444442,low
8,Born to Fly: Elizabeth Streb vs. Gravity_2014,65,2014-09-10,Born to Fly: Elizabeth Streb vs. Gravity,500000,1822,1822,2014,33369,tt2246526,Born to Fly: Elizabeth Streb vs. Gravity,Born to Fly: Elizabeth Streb vs. Gravity,2014,82.0,"Action,Biography,Documentary",-498178,0.003644,low
9,Windsor Drive_2015,51,2015-08-28,Windsor Drive,850000,3256,3256,2015,35697,tt2311428,Windsor Drive,Windsor Drive,2015,90.0,"Mystery,Thriller",-846744,0.0038305882352941177,low
10,Circle_2010,69,2010-08-27,Circle,2000000,10024,10024,2010,5635,tt1129412,Circle,Circle,2010,88.0,"Horror,Thriller",-1989976,0.005012,low
11,Salvation Boulevard_2011,31,2011-07-15,Salvation Boulevard,5500000,28468,28468,2011,6161,tt1251743,Salvation Boulevard,Salvation Boulevard,2011,96.0,"Action,Comedy,Drama",-5471532,0.005176,low
12,Drunk Wedding_2015,15,2015-05-22,Drunk Wedding,600000,3301,3301,2015,23294,tt1950135,Drunk Wedding,Drunk Wedding,2015,81.0,Comedy,-596699,0.005501666666666667,low
13,The Looking Glass_2015,58,2015-10-23,The Looking Glass,300000,1711,1711,2015,48926,tt2912776,The Looking Glass,The Looking Glass,2015,110.0,"Drama,Music",-298289,0.005703333333333334,low
14,Love Ranch_2010,19,2010-06-30,Love Ranch,25000000,137885,146149,2010,5622,tt1125929,Love Ranch,Love Ranch,2010,117.0,"Biography,Comedy,Drama",-24853851,0.00584596,low
15,Vamps_2012,79,2012-11-02,Vamps,16000000,3361,94812,2012,9207,tt1545106,Vamps,Vamps,2012,92.0,"Comedy,Horror,Romance",-15905188,0.00592575,low
16,The Harvest/La Cosecha_2011,22,2011-07-29,The Harvest/La Cosecha,560000,3709,3709,2011,24338,tt1981703,The Harvest/La Cosecha,The Harvest/La Cosecha,2011,80.0,Documentary,-556291,0.006623214285714286,low
17,Ca$h_2010,59,2010-03-26,Ca$h,7000000,46488,46488,2010,5581,tt1106860,Ca$h,Ca$h,2010,108.0,"Crime,Thriller",-6953512,0.006641142857142857,low
18,5 Days of War_2011,47,2011-08-19,5 Days of War,12000000,17479,87793,2011,8171,tt1486193,5 Days of War,5 Days of War,2011,113.0,"Action,Drama,War",-11912207,0.007316083333333333,low
19,The Giant Mechanical Man_2012,43,2012-04-27,The Giant Mechanical Man,900000,7396,7396,2012,16752,tt1769363,The Giant Mechanical Man,The Giant Mechanical Man,2012,95.0,"Comedy,Drama,Romance",-892604,0.008217777777777777,low
20,The First Time_2012,67,2012-10-19,The First Time,2000000,17061,17061,2012,16525,tt1763303,The First Time,The First Time,2012,95.0,"Comedy,Drama,Romance",-1982939,0.0085305,low
21,Blood Done Sign My Name_2010,20,2010-02-19,Blood Done Sign My Name,10000000,109383,109383,2010,5894,tt1210039,Blood Done Sign My Name,Blood Done Sign My Name,2010,128.0,Drama,-9890617,0.0109383,low
22,Locker 13_2014,57,2014-03-28,Locker 13,300000,3496,3496,2014,6095,tt1241226,Locker 13,Locker 13,2014,90.0,Thriller,-296504,0.011653333333333333,low
23,13 Sins_2014,51,2014-04-18,13 Sins,4000000,9134,47552,2014,26595,tt2059171,13 Sins,13 Sins,2014,93.0,"Horror,Thriller",-3952448,0.011888,low
24,The Tempest_2010,1,2010-12-10,The Tempest,20000000,277943,277943,2010,13266,tt1683003,The Tempest,The Tempest,2010,131.0,Drama,-19722057,0.01389715,low
25,The Tempest_2010,1,2010-12-10,The Tempest,20000000,277943,277943,2010,6292,tt1274300,The Tempest,The Tempest,2010,110.0,"Comedy,Drama,Fantasy",-19722057,0.01389715,low
26,Plush_2013,73,2013-09-13,Plush,2000000,3080,28864,2013,32659,tt2226519,Plush,Plush,2013,99.0,"Drama,Music,Thriller",-1971136,0.014432,low
27,Kicks_2016,13,2016-09-09,Kicks,10000000,150191,150191,2016,74590,tt4254584,Kicks,Kicks,2016,80.0,"Adventure,Drama",-9849809,0.0150191,low
28,Strangerland_2015,27,2015-07-10,Strangerland,10000000,17472,161097,2015,36284,tt2325977,Strangerland,Strangerland,2015,112.0,"Drama,Mystery,Thriller",-9838903,0.0161097,low
29,"Cinco de Mayo, La Batalla_2013",11,2013-05-03,"Cinco de Mayo, La Batalla",10000000,173472,173472,2013,42701,tt2553908,"Cinco de Mayo, La Batalla",Cinco de Mayo: La batalla,2013,125.0,"Drama,History,War",-9826528,0.0173472,low
30,The Word_2014,33,2014-03-14,The Word,200000,3648,3648,2014,60660,tt3509804,The Word,Obietnica,2014,97.0,"Drama,Thriller",-196352,0.01824,low
31,Elsa & Fred_2014,24,2014-11-07,Elsa & Fred,10000000,67657,197901,2014,28928,tt2113659,Elsa & Fred,Elsa & Fred,2014,93.0,"Comedy,Drama,Romance",-9802099,0.0197901,low
32,Shaft_2019,98,2019-06-14,Shaft,30000000,600000,600000,2019,77827,tt4463894,Shaft,Shaft,2019,,"Action,Comedy,Crime",-29400000,0.02,low
33,Trespass_2011,54,2011-10-14,Trespass,35000000,16816,786532,2011,13019,tt1674784,Trespass,Trespass,2011,91.0,"Crime,Drama,Thriller",-34213468,0.022472342857142856,low
34,The Last Days on Mars_2013,25,2013-12-06,The Last Days on Mars,10600000,24084,261364,2013,14186,tt1709143,The Last Days on Mars,The Last Days on Mars,2013,98.0,"Adventure,Horror,Sci-Fi",-10338636,0.02465698113207547,low
35,Barbecue_2014,32,2014-12-26,Barbecue,10000000,388,247565,2014,54436,tt3202120,Barbecue,Barbecue,2014,98.0,Comedy,-9752435,0.0247565,low
36,Frontera_2014,63,2014-09-05,Frontera,2300000,59696,59696,2014,41799,tt2510028,Frontera,Frontera,2014,103.0,"Drama,Thriller,Western",-2240304,0.025954782608695652,low
37,Men in Black: International_2019,42,2019-06-14,Men in Black: International,110000000,3100000,3100000,2019,34721,tt2283336,Men in Black: International,Men in Black: International,2019,115.0,"Action,Adventure,Comedy",-106900000,0.028181818181818183,low
38,Cop Car_2015,71,2015-08-07,Cop Car,5000000,134552,143658,2015,66955,tt3813310,Cop Car,Cop Car,2015,88.0,"Crime,Thriller",-4856342,0.0287316,low
39,Bitter Harvest_2017,80,2017-02-24,Bitter Harvest,21000000,557241,606162,2017,54133,tt3182620,Bitter Harvest,Bitter Harvest,2017,103.0,"Drama,Romance,War",-20393838,0.028864857142857143,low
40,As It Is in Heaven_2014,100,2014-07-11,As It Is in Heaven,450000,13486,13486,2014,30893,tt2176228,As It Is in Heaven,As It Is in Heaven,2014,86.0,Drama,-436514,0.02996888888888889,low
41,Welcome to the Rileys_2010,12,2010-10-29,Welcome to the Rileys,10000000,152857,355919,2010,5779,tt1183923,Welcome to the Rileys,Welcome to the Rileys,2010,110.0,Drama,-9644081,0.0355919,low
42,Pump_2014,57,2014-09-19,Pump,2000000,72277,72277,2014,44243,tt2630916,Pump,Pump!,2014,88.0,Documentary,-1927723,0.0361385,low
43,Middle Men_2010,94,2010-08-06,Middle Men,20000000,754301,754301,2010,12525,tt1664697,Middle Men,Middle Men,2010,82.0,"Action,Comedy,Crime",-19245699,0.03771505,low
44,8: The Mormon Proposition_2010,38,2010-06-18,8: The Mormon Proposition,2500000,100280,100280,2010,8152,tt1484522,8: The Mormon Proposition,8: The Mormon Proposition,2010,80.0,Documentary,-2399720,0.040112,low
45,All Good Things_2010,96,2010-12-03,All Good Things,20000000,582024,873617,2010,5745,tt1175709,All Good Things,All Good Things,2010,101.0,"Crime,Drama,Mystery",-19126383,0.04368085,low
46,Margaret_2011,27,2011-09-30,Margaret,14000000,47185,623292,2011,165,tt0466893,Margaret,Margaret,2011,150.0,Drama,-13376708,0.04452085714285714,low
47,Not Cool_2014,69,2014-09-19,Not Cool,800000,35688,35688,2014,61896,tt3569356,Not Cool,Not Cool,2014,93.0,"Comedy,Drama,Romance",-764312,0.04461,low
48,Gunless_2010,49,2010-04-30,Gunless,9900000,458054,458054,2010,7073,tt1376195,Gunless,Gunless,2010,89.0,"Action,Comedy,Drama",-9441946,0.04626808080808081,low
49,The Masked Saint_2016,19,2016-01-08,The Masked Saint,3500000,182695,182695,2016,52420,tt3103166,The Masked Saint,The Masked Saint,2016,105.0,"Action,Biography,Crime",-3317305,0.05219857142857143,low
50,London Fields_2018,24,2018-10-26,London Fields,8000000,252676,433732,2018,6278,tt1273221,London Fields,London Fields,2018,118.0,"Crime,Mystery,Thriller",-7566268,0.0542165,low
51,Freakonomics_2010,80,2010-10-01,Freakonomics,2900000,101270,172867,2010,5693,tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,-2727133,0.05960931034482759,low
52,Late Night_2019,35,2019-06-07,Late Night,4000000,246305,246305,2019,104431,tt6107548,Late Night,Late Night,2019,102.0,"Comedy,Drama",-3753695,0.06157625,low
53,Phantom_2013,43,2013-03-01,Phantom,18000000,1034589,1199510,2013,52054,tt3088580,Phantom,Phantom,2013,76.0,Drama,-16800490,0.06663944444444445,low
54,Phantom_2013,43,2013-03-01,Phantom,18000000,1034589,1199510,2013,22444,tt1922685,Phantom,Phantom,2013,98.0,"Drama,History,Thriller",-16800490,0.06663944444444445,low
55,The Extra Man_2010,53,2010-07-30,The Extra Man,7000000,453377,492108,2010,6975,tt1361313,The Extra Man,The Extra Man,2010,108.0,Comedy,-6507892,0.07030114285714285,low
56,Tim and Eric's Billion Dollar Movie_2012,44,2012-03-02,Tim and Eric's Billion Dollar Movie,3000000,201436,223652,2012,20438,tt1855401,Tim and Eric's Billion Dollar Movie,Tim and Eric's Billion Dollar Movie,2012,93.0,Comedy,-2776348,0.07455066666666667,low
57,Test_2014,89,2014-06-06,Test,250000,18823,18823,2014,72337,tt4131188,Test,Ispytanie,2014,96.0,Drama,-231177,0.075292,low
58,Road Hard_2015,2,2015-03-06,Road Hard,1500000,113169,113169,2015,52648,tt3110770,Road Hard,Road Hard,2015,98.0,Comedy,-1386831,0.075446,low
59,The Son of No One_2011,51,2011-11-04,The Son of No One,15000000,30680,1148578,2011,8957,tt1535612,The Son of No One,The Son of No One,2011,90.0,"Action,Crime,Drama",-13851422,0.07657186666666667,low
60,Raymond Did It_2011,32,2011-02-11,Raymond Did It,40000,3632,3632,2011,14476,tt1716760,Raymond Did It,Raymond Did It,2011,83.0,Horror,-36368,0.0908,low
61,Joe_2014,30,2014-04-11,Joe,4000000,373375,373375,2014,62888,tt3614128,Joe,Joe,2014,5.0,"Biography,Documentary",-3626625,0.09334375,low
62,Joe_2014,30,2014-04-11,Joe,4000000,373375,373375,2014,61209,tt3532296,Joe,Joe,2014,,Documentary,-3626625,0.09334375,low
63,Standing Ovation_2010,11,2010-07-16,Standing Ovation,5600000,531806,531806,2010,6474,tt1303803,Standing Ovation,Standing Ovation,2010,105.0,Musical,-5068194,0.09496535714285714,low
64,Hardflip_2012,81,2012-06-01,Hardflip,1000000,96734,96734,2012,22047,tt1907639,Hardflip,Hardflip,2012,112.0,"Action,Drama",-903266,0.096734,low
65,Kill the Irishman_2011,32,2011-03-11,Kill the Irishman,12000000,1188194,1188194,2011,7412,tt1416801,Kill the Irishman,Kill the Irishman,2011,106.0,"Biography,Crime,Drama",-10811806,0.09901616666666667,low
66,Darling Companion_2012,34,2012-04-20,Darling Companion,12000000,793352,1200346,2012,15094,tt1730687,Darling Companion,Darling Companion,2012,103.0,"Comedy,Drama,Romance",-10799654,0.10002883333333333,low
67,Camp X-Ray_2014,92,2014-10-17,Camp X-Ray,1000000,9837,101053,2014,50503,tt2994190,Camp X-Ray,Camp X-Ray,2014,117.0,"Drama,War",-898947,0.101053,low
68,50 to 1_2014,93,2014-03-21,50 to 1,10000000,1069454,1069454,2014,17155,tt1777595,50 to 1,50 to 1,2014,110.0,Drama,-8930546,0.1069454,low
69,Creature_2011,38,2011-09-09,Creature,3000000,331000,331000,2011,13367,tt1686018,Creature,Creature,2011,93.0,Horror,-2669000,0.11033333333333334,low
70,There Be Dragons_2011,21,2011-05-06,There Be Dragons,36000000,1069334,4020990,2011,6583,tt1316616,There Be Dragons,There Be Dragons,2011,122.0,"Biography,Drama,War",-31979010,0.11169416666666666,low
71,My All-American_2015,85,2015-11-13,My All-American,20000000,2246000,2246000,2015,65054,tt3719896,My All-American,My All-American,2015,118.0,"Biography,Drama,Sport",-17754000,0.1123,low
72,Blood Ties_2014,52,2014-03-21,Blood Ties,26000000,42472,2923959,2014,96383,tt5621080,Blood Ties,Blood Ties,2014,,Documentary,-23076041,0.11245996153846154,low
73,Rudderless_2014,78,2014-10-17,Rudderless,5000000,56001,567219,2014,18009,tt1798243,Rudderless,Rudderless,2014,105.0,"Comedy,Drama,Music",-4432781,0.1134438,low
74,The Promise_2017,78,2017-04-21,The Promise,90000000,8224288,10551417,2017,145937,tt9889072,The Promise,The Promise,2017,,Drama,-79448583,0.11723796666666667,low
75,The Promise_2017,78,2017-04-21,The Promise,90000000,8224288,10551417,2017,120201,tt7232438,The Promise,Puen Tee Raluek,2017,114.0,"Drama,Horror,Thriller",-79448583,0.11723796666666667,low
76,The Promise_2017,78,2017-04-21,The Promise,90000000,8224288,10551417,2017,645,tt10013288,The Promise,The Promise,2017,,Drama,-79448583,0.11723796666666667,low
77,The Promise_2017,78,2017-04-21,The Promise,90000000,8224288,10551417,2017,73582,tt4192918,The Promise,The Promise,2017,,Comedy,-79448583,0.11723796666666667,low
78,The Square_2013,100,2013-10-25,The Square,1500000,124244,176262,2013,41391,tt2486682,The Square,Al midan,2013,108.0,"Documentary,Drama,History",-1323738,0.117508,low
79,The Square_2013,100,2013-10-25,The Square,1500000,124244,176262,2013,65779,tt3753108,The Square,A tér,2013,52.0,Documentary,-1323738,0.117508,low
80,Machine Gun Preacher_2011,99,2011-09-23,Machine Gun Preacher,30000000,538690,3721988,2011,10055,tt1586752,Machine Gun Preacher,Machine Gun Preacher,2011,129.0,"Action,Biography,Crime",-26278012,0.12406626666666666,low
81,Emily_2017,45,2017-01-27,Emily,27000,3547,3547,2017,76782,tt4393036,Emily,Emily,2017,83.0,Drama,-23453,0.13137037037037036,low
82,The Bounce Back_2016,39,2016-12-09,The Bounce Back,3000000,321910,421404,2016,55553,tt3253232,The Bounce Back,The Bounce Back,2016,104.0,"Comedy,Romance",-2578596,0.140468,low
83,Wild Card_2015,5,2015-01-30,Wild Card,30000000,3200,4315789,2015,32774,tt2231253,Wild Card,Wild Card,2015,92.0,"Action,Crime,Drama",-25684211,0.14385963333333332,low
84,Sgt. Stubby: An American Hero_2018,6,2018-04-13,Sgt. Stubby: An American Hero,25000000,3054285,3645957,2018,91910,tt5314190,Sgt. Stubby: An American Hero,Sgt. Stubby: An American Hero,2018,84.0,"Adventure,Animation,Family",-21354043,0.14583828,low
85,Child 44_2015,2,2015-04-17,Child 44,50000000,1224330,8004221,2015,1609,tt1014763,Child 44,Child 44,2015,137.0,"Crime,Drama,History",-41995779,0.16008442,low
86,Parkland_2013,100,2013-10-04,Parkland,10000000,641439,1616353,2013,37007,tt2345112,Parkland,Parkland,2013,93.0,"Drama,History,Mystery",-8383647,0.1616353,low
87,Counting_2015,20,2015-07-31,Counting,50000,8374,8374,2015,77807,tt4462082,Counting,Counting,2015,111.0,Documentary,-41626,0.16748,low
88,Atlas Shrugged: Who Is John Galt?_2014,60,2014-09-12,Atlas Shrugged: Who Is John Galt?,5000000,851690,851690,2014,47186,tt2800038,Atlas Shrugged: Who Is John Galt?,Atlas Shrugged: Part III,2014,99.0,"Drama,Mystery,Sci-Fi",-4148310,0.170338,low
89,Casino Jack_2010,32,2010-12-17,Casino Jack,12500000,2039869,2272186,2010,5824,tt1194417,Casino Jack,Casino Jack,2010,108.0,"Biography,Comedy,Crime",-10227814,0.18177488,low
90,Stone_2010,50,2010-10-08,Stone,22000000,1810078,4065020,2010,7467,tt1423995,Stone,Stone,2010,105.0,"Drama,Thriller",-17934980,0.18477363636363636,low
91,By the Sea_2015,97,2015-11-13,By the Sea,20000000,538460,3727746,2015,64740,tt3707106,By the Sea,By the Sea,2015,122.0,"Drama,Romance",-16272254,0.1863873,low
92,The Big Year_2011,74,2011-10-14,The Big Year,41000000,7204138,7684524,2011,5458,tt1053810,The Big Year,The Big Year,2011,100.0,Comedy,-33315476,0.18742741463414633,low
93,A Better Life_2011,84,2011-06-24,A Better Life,10000000,1759252,1884251,2011,9344,tt1554091,A Better Life,A Better Life,2011,98.0,"Drama,Romance",-8115749,0.1884251,low
94,A Better Life_2011,84,2011-06-24,A Better Life,10000000,1759252,1884251,2011,25786,tt2027265,A Better Life,Une vie meilleure,2011,110.0,Drama,-8115749,0.1884251,low
95,The Past is a Grotesque Animal_2014,90,2014-06-19,The Past is a Grotesque Animal,100000,20056,20056,2014,51818,tt3072636,The Past is a Grotesque Animal,The Past is a Grotesque Animal,2014,77.0,"Biography,Documentary,Music",-79944,0.20056,low
96,The Warrior's Way_2010,65,2010-12-03,The Warrior's Way,42000000,5666340,8514325,2010,3318,tt1032751,The Warrior's Way,The Warrior's Way,2010,100.0,"Action,Fantasy,Western",-33485675,0.2027220238095238,low
97,Ain't Them Bodies Saints_2013,64,2013-08-16,Ain't Them Bodies Saints,5000000,391611,1075009,2013,38740,tt2388637,Ain't Them Bodies Saints,Ain't Them Bodies Saints,2013,96.0,"Crime,Drama,Romance",-3924991,0.2150018,low
98,The Lost Medallion: The Adventures of Billy Stone_2013,31,2013-03-01,The Lost Medallion: The Adventures of Billy Stone,2500000,549632,549632,2013,7198,tt1390539,The Lost Medallion: The Adventures of Billy Stone,The Lost Medallion: The Adventures of Billy Stone,2013,97.0,"Adventure,Family,Fantasy",-1950368,0.2198528,low
99,Greater_2016,4,2016-08-26,Greater,9000000,2000093,2000093,2016,49649,tt2950418,Greater,Greater,2016,130.0,"Biography,Family,Sport",-6999907,0.22223255555555554,low
100,Rock the Kasbah_2015,28,2015-10-23,Rock the Kasbah,15000000,3020665,3386153,2015,53752,tt3164256,Rock the Kasbah,Rock the Kasbah,2015,106.0,"Comedy,Music,War",-11613847,0.22574353333333333,low
101,The Nutcracker in 3D_2010,79,2010-11-24,The Nutcracker in 3D,90000000,195459,20466016,2010,4579,tt1041804,The Nutcracker in 3D,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy",-69533984,0.22740017777777777,low
102,Maggie_2015,47,2015-05-08,Maggie,4500000,187112,1027760,2015,21427,tt1881002,Maggie,Maggie,2015,95.0,"Drama,Horror",-3472240,0.2283911111111111,low
103,The Disappointments Room_2016,30,2016-09-09,The Disappointments Room,15000000,2423467,3503761,2016,37765,tt2364897,The Disappointments Room,The Disappointments Room,2016,85.0,"Drama,Horror,Thriller",-11496239,0.23358406666666667,low
104,Jonah Hex_2010,40,2010-06-18,Jonah Hex,47000000,10547117,11022696,2010,5509,tt1075747,Jonah Hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",-35977304,0.23452544680851065,low
105,The Fifth Estate_2013,50,2013-10-18,The Fifth Estate,26000000,3254172,6154172,2013,19624,tt1837703,The Fifth Estate,The Fifth Estate,2013,128.0,"Biography,Drama,Thriller",-19845828,0.23669892307692308,low
106,Mandy_2018,71,2018-09-14,Mandy,6000000,1214525,1427656,2018,117429,tt6998518,Mandy,Mandy,2018,121.0,"Action,Fantasy,Horror",-4572344,0.23794266666666666,low
107,The Beaver_2011,79,2011-05-06,The Beaver,21000000,970816,5046038,2011,6620,tt1321860,The Beaver,The Beaver,2011,91.0,Drama,-15953962,0.2402875238095238,low
108,Another Happy Day_2011,52,2011-11-18,Another Happy Day,4000000,9120,978527,2011,14565,tt1719071,Another Happy Day,Another Happy Day,2011,119.0,"Comedy,Drama",-3021473,0.24463175,low
109,Freeheld_2015,51,2015-10-02,Freeheld,7000000,546201,1732228,2015,12340,tt1658801,Freeheld,Freeheld,2015,103.0,"Biography,Drama,Romance",-5267772,0.24746114285714285,low
110,The Canyons_2013,84,2013-08-02,The Canyons,250000,59671,62375,2013,35055,tt2292959,The Canyons,The Canyons,2013,99.0,"Drama,Thriller",-187625,0.2495,low
111,Hands of Stone_2016,74,2016-08-26,Hands of Stone,20000000,4712792,5031975,2016,17281,tt1781827,Hands of Stone,Hands of Stone,2016,111.0,"Action,Biography,Drama",-14968025,0.25159875,low
112,Brotherly Love_2015,8,2015-04-24,Brotherly Love,1900000,478595,478595,2015,66461,tt3787742,Brotherly Love,Brotherly Love,2015,57.0,Horror,-1421405,0.2518921052631579,low
113,Brotherly Love_2015,8,2015-04-24,Brotherly Love,1900000,478595,478595,2015,55749,tt3262990,Brotherly Love,Brotherly Love,2015,89.0,Drama,-1421405,0.2518921052631579,low
114,Bucky Larson: Born to Be a Star_2011,78,2011-09-09,Bucky Larson: Born to Be a Star,10000000,2529395,2529395,2011,7369,tt1411664,Bucky Larson: Born to Be a Star,Bucky Larson: Born to Be a Star,2011,97.0,Comedy,-7470605,0.2529395,low
115,Believe_2016,13,2016-12-02,Believe,3500000,890303,890303,2016,81800,tt4700756,Believe,Believe,2016,119.0,Drama,-2609697,0.2543722857142857,low
116,Believe_2016,13,2016-12-02,Believe,3500000,890303,890303,2016,142202,tt9347476,Believe,Believe,2016,,,-2609697,0.2543722857142857,low
117,The D Train_2015,34,2015-05-08,The D Train,3000000,669688,772366,2015,45257,tt2690138,The D Train,The D Train,2015,101.0,"Comedy,Drama",-2227634,0.2574553333333333,low
118,Mars Needs Moms_2011,94,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,2011,6485,tt1305591,Mars Needs Moms,Mars Needs Moms,2011,88.0,"Adventure,Animation,Family",-110450242,0.26366505333333334,low
119,Escape from Tomorrow_2013,100,2013-10-11,Escape from Tomorrow,650000,171962,171962,2013,31377,tt2187884,Escape from Tomorrow,Escape from Tomorrow,2013,90.0,"Drama,Fantasy,Horror",-478038,0.2645569230769231,low
120,Action Point_2018,50,2018-06-01,Action Point,19000000,5059608,5103675,2018,111242,tt6495770,Action Point,Action Point,2018,85.0,Comedy,-13896325,0.26861447368421054,low
121,Blackthorn_2011,46,2011-10-07,Blackthorn,4500000,200558,1217307,2011,11374,tt1629705,Blackthorn,Blackthorn,2011,102.0,"Action,Adventure,Western",-3282693,0.2705126666666667,low
122,Tulip Fever_2017,8,2017-09-01,Tulip Fever,25000000,2455635,6792768,2017,218,tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"Drama,History,Romance",-18207232,0.27171072,low
123,The Christmas Candle_2013,45,2013-11-15,The Christmas Candle,7000000,1632000,1933829,2013,46079,tt2739338,The Christmas Candle,The Christmas Candle,2013,100.0,"Drama,Family",-5066171,0.2762612857142857,low
124,The Killer Inside Me_2010,11,2010-06-18,The Killer Inside Me,13000000,217277,3617277,2010,480,tt0954947,The Killer Inside Me,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",-9382723,0.2782520769230769,low
125,Hobo with a Shotgun_2011,33,2011-05-06,Hobo with a Shotgun,3000000,703372,834953,2011,11731,tt1640459,Hobo with a Shotgun,Hobo with a Shotgun,2011,86.0,"Action,Comedy,Horror",-2165047,0.2783176666666667,low
126,Deadfall_2012,83,2012-12-07,Deadfall,6000000,66351,1673635,2012,12663,tt1667310,Deadfall,Deadfall,2012,95.0,"Crime,Drama,Thriller",-4326365,0.2789391666666667,low
127,The Interview_2014,33,2014-02-06,The Interview,44000000,6105175,12342632,2014,46996,tt2788710,The Interview,The Interview,2014,112.0,Comedy,-31657368,0.2805143636363636,low
128,Blackhat_2015,47,2015-01-16,Blackhat,70000000,8005980,19665004,2015,45648,tt2717822,Blackhat,Blackhat,2015,133.0,"Action,Crime,Thriller",-50334996,0.2809286285714286,low
129,Welcome to Marwen_2018,18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,2018,56267,tt3289724,Welcome to Marwen,Welcome to Marwen,2018,116.0,"Biography,Comedy,Drama",-32125078,0.2861093777777778,low
130,Stronger_2017,90,2017-09-22,Stronger,30000000,4211129,8786752,2017,68213,tt3881784,Stronger,Stronger,2017,119.0,"Biography,Drama",-21213248,0.29289173333333335,low
131,Stronger_2017,90,2017-09-22,Stronger,30000000,4211129,8786752,2017,98205,tt5738152,Stronger,Stronger,2017,125.0,Drama,-21213248,0.29289173333333335,low
132,Won't Back Down_2012,49,2012-09-28,Won't Back Down,19000000,5310554,5745503,2012,21122,tt1870529,Won't Back Down,Won't Back Down,2012,121.0,Drama,-13254497,0.3023948947368421,low
133,Flipped_2010,22,2010-08-06,Flipped,14000000,1755212,4289993,2010,313,tt0817177,Flipped,Flipped,2010,90.0,"Comedy,Drama,Romance",-9710007,0.3064280714285714,low
134,Just Getting Started_2017,44,2017-12-08,Just Getting Started,22000000,6069605,6756412,2017,97960,tt5721088,Just Getting Started,Just Getting Started,2017,91.0,"Action,Comedy",-15243588,0.30710963636363636,low
135,The Devil's Double_2011,23,2011-07-29,The Devil's Double,19100000,1361512,5965646,2011,6250,tt1270262,The Devil's Double,The Devil's Double,2011,109.0,"Biography,Drama,Thriller",-13134354,0.3123374869109948,low
136,The Virginity Hit_2010,44,2010-09-24,The Virginity Hit,2000000,636706,636706,2010,13746,tt1695994,The Virginity Hit,The Virginity Hit,2010,86.0,Comedy,-1363294,0.318353,low
137,Rosewater_2014,74,2014-11-14,Rosewater,10000000,3128941,3185717,2014,46267,tt2752688,Rosewater,Rosewater,2014,103.0,"Biography,Drama",-6814283,0.3185717,low
138,The Paperboy_2012,37,2012-10-05,The Paperboy,12500000,677200,4027663,2012,8290,tt1496422,The Paperboy,The Paperboy,2012,107.0,"Crime,Drama,Mystery",-8472337,0.32221304,low
139,Live by Night_2016,17,2016-12-25,Live by Night,65000000,10378555,21774432,2016,37588,tt2361317,Live by Night,Live by Night,2016,129.0,"Action,Crime,Drama",-43225568,0.33499126153846154,low
140,Kin_2018,88,2018-08-31,Kin,30000000,5718096,10096821,2018,102803,tt6017942,Kin,Kin,2018,102.0,"Action,Drama,Sci-Fi",-19903179,0.3365607,low
